iab_id,company_id,first_added,last_modified,gid
656,290570,2019-07-19,2019-07-19,null
504,290571,2019-07-19,2019-07-19,null
647,180174,2019-07-19,2019-07-19,2062
648,290567,2019-07-19,2020-03-05,7319
654,290568,2019-07-19,2020-03-05,4324
659,290569,2019-07-19,2020-03-09,7384
613,290562,2019-07-13,2020-03-09,7387
652,290561,2019-07-13,2019-07-16,4526
646,290560,2019-07-13,2019-07-16,4547
573,51664,2019-07-13,2019-07-16,1729
653,290556,2019-07-05,2019-07-05,5572
635,290551,2019-06-21,2019-07-02,6131
645,290546,2019-06-21,2019-07-02,6130
579,290547,2019-06-21,2019-06-28,4387
644,290549,2019-06-14,2019-06-28,4631
634,172550,2019-06-14,2019-07-02,2718
639,290552,2019-06-14,2019-07-02,6132
638,290480,2019-05-31,2019-06-28,5949
628,287454,2019-05-17,2019-06-04,2834
626,290464,2019-05-17,2019-06-28,5943
630,290496,2019-05-17,2019-07-02,6133
631,290467,2019-05-17,2019-06-28,5954
627,290457,2019-05-17,2019-06-04,5252
619,290458,2019-05-10,2019-06-04,3757
625,279545,2019-05-10,2019-06-28,5939
623,203318,2019-05-03,2019-06-04,2338
618,191985,2019-05-03,2019-06-04,4928
624,290465,2019-04-19,2019-06-04,4501
620,290468,2019-04-19,2020-03-09,7377
610,290504,2019-04-19,2019-06-28,5938
621,166932,2019-04-19,2019-07-02,6135
617,290505,2019-04-12,2019-06-28,5948
615,290497,2019-04-05,2019-06-28,5937
609,290508,2019-04-05,2019-06-28,5950
614,290495,2019-04-05,2019-07-02,6138
591,290461,2019-04-05,2019-06-04,4230
607,290459,2019-04-05,2019-06-04,3929
602,190049,2019-03-29,2019-05-30,2344
612,290499,2019-03-29,2019-06-05,3680
606,290462,2019-03-22,2019-06-28,5945
608,290470,2019-03-22,2019-07-02,6137
599,290479,2019-03-15,2019-06-28,5947
604,290500,2019-03-15,2020-03-09,7381
584,197223,2019-03-08,2019-06-04,5381
601,287903,2019-03-08,2019-05-06,3238
576,251877,2019-03-01,2019-06-05,4730
549,290481,2019-03-01,2019-06-05,4593
598,290488,2019-03-01,2019-07-02,6129
597,288346,2019-03-01,2019-06-05,3433
592,290482,2019-03-01,2019-06-28,5941
596,290473,2019-03-01,2020-03-05,7320
593,290507,2019-02-22,2019-06-28,5951
574,290501,2019-02-22,2019-06-28,5952
581,202169,2019-02-22,2019-05-06,1668
580,136794,2019-02-15,2019-03-29,3379
578,290503,2019-02-15,2019-06-05,5758
590,288588,2019-02-15,2019-05-06,3810
587,290491,2019-02-15,2019-06-28,5946
569,290471,2019-02-08,2019-06-28,5936
577,29483,2019-02-08,2019-06-04,1736
548,45102,2019-01-31,2019-07-02,6136
568,290493,2019-01-25,2019-07-02,6134
559,262450,2019-01-25,2019-02-08,2826
570,290502,2019-01-25,2020-03-09,7383
572,290422,2019-01-18,2019-05-30,4097
571,290492,2019-01-18,2019-06-28,5957
565,290434,2019-01-11,2019-05-30,1857
118,178295,2019-01-11,2019-02-07,2317
498,290052,2018-12-28,2019-02-07,3748
554,290506,2018-12-21,2019-07-02,6139
560,169044,2018-12-07,2019-06-28,2234
550,289494,2018-11-30,2019-06-28,5942
556,286531,2018-11-23,2019-05-06,2335
553,290489,2018-11-23,2019-06-05,2164
439,290553,2018-11-16,2019-06-28,5940
545,290548,2018-11-09,2019-06-28,5953
541,272230,2018-11-09,2018-11-29,2534
546,290460,2018-11-02,2019-06-28,5955
